Title,Genre,Rating,Votes,Duration,Genre_Source
354. Deadzone,Action,4.4, (31),1h 20m,Action
355. Mission: Chapter 1,Action,5.9, (1.7K),2h 24m,Action
356. They Call Her Death,Action,6.5, (21),1h 32m,Action
357. Dange,Action,5.4, (785),2h 34m,Action
358. Midas,Action,4.6, (330),1h 25m,Action
359. Bohurupi,Action,8.3, (1.4K),2h 35m,Action
360. Bhaiyya Ji,Action,4.8, (7.3K),2h 30m,Action
361. Fighting the Fire,Action,8.6, (1.7K),1h 55m,Action
362. Lisabi: The Uprising,Action,6.4, (121),1h 47m,Action
363. UmroAyyar - A New Beginning,Action,6.9, (669),2h 15m,Action
364. Rode College,Action,6.6, (420),2h 48m,Action
365. Codename: Devil,Action,,,1h 44m,Action
366. Sucha Soorma,Action,6.5, (904),2h 16m,Action
367. The Unbreakable Bunch,Action,7.4, (24),R,Action
368. Black Heat,Action,7.4, (17),1h 33m,Action
369. Hunt the Wicked,Action,5.2, (104),1h 42m,Action
370. Ten Toes Down,Action,8.0, (31),,Action
371. Road Wars: Max Fury,Action,2.0, (349),1h 23m,Action
372. Prepare to Die,Action,4.6, (228),1h 33m,Action
373. Nu Huo 12 Xiao Shi,Action,6.1, (41),1h 26m,Action
374. Rendel: Cycle of Revenge,Action,3.6, (240),1h 39m,Action
375. Kizumonogatari: Koyomi Vamp,Action,6.9, (79),2h 24m,Action
376. Anchakkallakokkan,Action,6.6, (998),2h 6m,Action
377. Ship of the Damned,Action,2.8, (293),1h 28m,Action
378. Conquer: Lahad Datu,Action,6.7, (492),2h,Action
379. 24 Hours to D-Day,Action,5.0, (28),1h 23m,Action
380. Mirza: Part 1 - Joker,Action,6.8, (235),2h 45m,Action
381. Snatched,Action,4.9, (204),1h 41m,Action
382. Kondal,Action,5.4, (760),2h 27m,Action
383. 6 Hours Away,Action,3.9, (237),1h 33m,Action
384. In Tenebras: Into the Darkness,Action,3.2, (170),1h 30m,Action
385. Cesium Fallout,Action,6.7, (404),2h 16m,Action
386. Where Is Gilgamesh?,Action,9.0, (603),1h 30m,Action
387. Kadakan,Action,4.0, (110),2h 8m,Action
388. Big City Greens the Movie: Spacecation,Action,6.2, (526),TV-Y7,Action
389. The Epidemic,Action,5.9, (67),1h 35m,Action
390. Yuva,Action,5.8, (833),2h 33m,Action
391. How to Make a Werewolf,Action,5.6, (81),16+,Action
392. Team of Two,Action,5.1, (105),,Action
393. Rang De Basanti,Action,8.8, (144),2h 54m,Action
394. Ballistic,Action,2.3, (161),1h 35m,Action
395. Camp Blood: Clown Shark,Action,3.3, (81),1h 10m,Action
396. Turbo,Action,5.9, (3.5K),2h 35m,Action
397. The Mick and the Trick,Action,5.0, (74),1h 36m,Action
398. What Happens in Miami,Action,4.3, (217),1h 30m,Action
399. Buddy,Action,3.8, (337),2h 17m,Action
400. Operation Hope,Action,7.0, (22),,Action
401. Matka,Action,4.7, (569),2h 36m,Action
402. High Forces,Action,5.8, (490),1h 59m,Action
403. Malayalee from India,Action,5.6, (5K),2h 40m,Action
404. The Bodyguard,Action,6.7, (24),1h 27m,Action
405. Mutant,Action,4.5, (57),1h 30m,Action
406. The Legend Hunters,Action,4.8, (15),,Action
407. Formed Police Unit,Action,4.6, (471),2h,Action
408. Shark Island,Action,4.0, (113),1h 21m,Action
409. Naam,Action,6.5, (272),2h 16m,Action
410. The Moon Thieves,Action,6.2, (222),1h 48m,Action
411. Case Files,Action,,,,Action
412. Bhairadevi,Action,8.8, (42),2h 14m,Action
413. The Circuit 4: Faith Fighter,Action,4.4, (86),1h 30m,Action
414. 100 Crores,Action,6.2, (4K),,Action
415. Jithender Reddy,Action,9.5, (2.3K),2h 16m,Action
416. Exorcism Chronicles: The Beginning,Action,6.9, (60),1h 25m,Action
417. The Waiter,Action,7.9, (19),,Action
418. Hide and Seek,Action,8.2, (54),2h 10m,Action
419. Kung Fu Games,Action,3.3, (372),1h 38m,Action
420. Neon Fear,Action,6.1, (373),40m,Action
421. The Traveller,Action,5.2, (196),2h 14m,Action
422. September Babies,Action,6.5, (280),1h 34m,Action
423. Honeko Akabane's Bodyguards,Action,6.0, (33),1h 57m,Action
424. Ghost Killer,Action,7.1, (56),1h 45m,Action
425. Saint Young Men: Holy Men vs Demon Army,Action,3.0, (13),1h 33m,Action
426. Sons of Rizk 3,Action,6.7, (1.6K),2h 5m,Action
427. Stuntman,Action,7.0, (133),1h 54m,Action
428. Spirit Riser,Action,6.7, (33),1h 38m,Action
429. Red vs. Blue: Restoration,Action,5.6, (133),1h 25m,Action
430. Dragon Ball Z Kai,Action,8.4, (64),1h 22m,Action
431. Six jours,Action,6.3, (96),1h 35m,Action
432. Checkmate,Action,4.3, (376),1h 44m,Action
433. Blade of Fury,Action,6.1, (110),1h 30m,Action
434. The Slave and the Sorcerer,Action,6.7, (37),1h 26m,Action
435. Buying Time,Action,6.6, (244),1h 24m,Action
436. Customs Frontline,Action,5.4, (458),1h 55m,Action
437. Purushothamudu,Action,4.9, (2.2K),2h,Action
438. Get Close 2,Action,6.0, (43),,Action
439. Hrashwo Deergha,Action,7.9, (79),2h 30m,Action
440. Petta Rap,Action,4.2, (1.7K),2h 3m,Action
441. Mechanic Rocky,Action,6.7, (3.4K),2h 36m,Action
442. Go for Broke,Action,5.6, (264),1h 55m,Action
443. Hotel Underground,Action,7.4, (59),,Action
444. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Action,6.8, (25),1h 11m,Action
445. Anthima Theerpu,Action,8.1, (1.5K),2h 13m,Action
446. The Alexandrian,Action,3.9, (244),1h 44m,Action
447. Raqa,Action,6.4, (56),1h 47m,Action
448. Dark Fusion,Action,8.5, (233),1h 30m,Action
